流式输出内容被截断，只能显示最后 5000 行内容。
Image  5004: psnr: 14.39948 / bpp_real: 2.04688, saving in out/...
Image  5005: psnr: 16.15584 / bpp_real: 2.17188, saving in out/...
Image  5006: psnr: 16.20863 / bpp_real: 2.51562, saving in out/...
Image  5007: psnr: 13.66966 / bpp_real: 2.12500, saving in out/...
Image  5008: psnr: 15.54960 / bpp_real: 2.15625, saving in out/...
Image  5009: psnr: 13.95324 / bpp_real: 2.23438, saving in out/...
Image  5010: psnr: 17.55030 / bpp_real: 2.43750, saving in out/...
Image  5011: psnr: 15.75335 / bpp_real: 2.10938, saving in out/...
Image  5012: psnr: 15.66524 / bpp_real: 2.60156, saving in out/...
Image  5013: psnr: 17.34291 / bpp_real: 2.42188, saving in out/...
Image  5014: psnr: 13.21986 / bpp_real: 2.32812, saving in out/...
Image  5015: psnr: 11.61010 / bpp_real: 2.10938, saving in out/...
Image  5016: psnr: 17.75609 / bpp_real: 2.40625, saving in out/...
Image  5017: psnr: 17.81160 / bpp_real: 2.48438, saving in out/...
Image  5018: psnr: 14.44050 / bpp_real: 2.06250, saving in out/...
Image  5019: psnr: 11.25435 / bpp_real: 2.09375, saving in out/...
Image  5020: psnr: 14.88720 / bpp_real: 2.06250, saving in out/...
Image  5021: psnr: 16.89663 / bpp_real: 2.10938, saving in out/...
Image  5022: psnr: 19.04079 / bpp_real: 2.37500, saving in out/...
Image  5023: psnr: 17.66700 / bpp_real: 2.70312, saving in out/...
Image  5024: psnr: 15.72350 / bpp_real: 2.25000, saving in out/...
Image  5025: psnr: 17.03850 / bpp_real: 2.26562, saving in out/...
Image  5026: psnr: 12.99381 / bpp_real: 2.10938, saving in out/...
Image  5027: psnr: 12.86105 / bpp_real: 2.14062, saving in out/...
Image  5028: psnr: 15.82093 / bpp_real: 2.21875, saving in out/...
Image  5029: psnr: 18.63620 / bpp_real: 2.39062, saving in out/...
Image  5030: psnr: 16.62112 / bpp_real: 2.25000, saving in out/...
Image  5031: psnr: 12.35299 / bpp_real: 2.20312, saving in out/...
Image  5032: psnr: 17.37866 / bpp_real: 2.68750, saving in out/...
Image  5033: psnr: 15.07121 / bpp_real: 2.34375, saving in out/...
Image  5034: psnr: 16.60337 / bpp_real: 2.37500, saving in out/...
Image  5035: psnr: 13.30759 / bpp_real: 2.21875, saving in out/...
Image  5036: psnr: 14.07603 / bpp_real: 2.12500, saving in out/...
Image  5037: psnr: 10.81729 / bpp_real: 2.14062, saving in out/...
Image  5038: psnr: 15.31812 / bpp_real: 2.46875, saving in out/...
Image  5039: psnr: 17.29537 / bpp_real: 2.28125, saving in out/...
Image  5040: psnr: 15.62637 / bpp_real: 2.28125, saving in out/...
Image  5041: psnr: 13.46423 / bpp_real: 1.82812, saving in out/...
Image  5042: psnr: 10.84766 / bpp_real: 2.25000, saving in out/...
Image  5043: psnr: 11.64129 / bpp_real: 2.17188, saving in out/...
Image  5044: psnr: 17.65050 / bpp_real: 2.60156, saving in out/...
Image  5045: psnr: 18.94796 / bpp_real: 2.37500, saving in out/...
Image  5046: psnr: 19.58400 / bpp_real: 2.40625, saving in out/...
Image  5047: psnr: 12.74362 / bpp_real: 2.17188, saving in out/...
Image  5048: psnr: 11.21812 / bpp_real: 2.23438, saving in out/...
Image  5049: psnr: 15.13989 / bpp_real: 2.04688, saving in out/...
Image  5050: psnr: 17.90491 / bpp_real: 2.17188, saving in out/...
Image  5051: psnr: 17.47487 / bpp_real: 2.12500, saving in out/...
Image  5052: psnr: 16.13136 / bpp_real: 2.50000, saving in out/...
Image  5053: psnr: 13.59805 / bpp_real: 2.07812, saving in out/...
Image  5054: psnr: 12.09362 / bpp_real: 2.20312, saving in out/...
Image  5055: psnr: 14.00382 / bpp_real: 2.14062, saving in out/...
Image  5056: psnr: 12.67193 / bpp_real: 2.15625, saving in out/...
Image  5057: psnr: 14.44727 / bpp_real: 2.14062, saving in out/...
Image  5058: psnr: 10.25711 / bpp_real: 2.37500, saving in out/...
Image  5059: psnr: 19.39804 / bpp_real: 2.07812, saving in out/...
Image  5060: psnr: 20.26361 / bpp_real: 2.92188, saving in out/...
Image  5061: psnr: 14.87072 / bpp_real: 2.10938, saving in out/...
Image  5062: psnr: 18.64228 / bpp_real: 2.43750, saving in out/...
Image  5063: psnr: 19.97782 / bpp_real: 2.64062, saving in out/...
Image  5064: psnr: 13.34399 / bpp_real: 2.23438, saving in out/...
Image  5065: psnr: 13.48208 / bpp_real: 2.28125, saving in out/...
Image  5066: psnr: 14.96607 / bpp_real: 2.26562, saving in out/...
Image  5067: psnr: 11.95844 / bpp_real: 2.21875, saving in out/...
Image  5068: psnr: 15.14738 / bpp_real: 2.26562, saving in out/...
Image  5069: psnr: 14.30322 / bpp_real: 2.40625, saving in out/...
Image  5070: psnr: 14.42078 / bpp_real: 2.20312, saving in out/...
Image  5071: psnr: 17.59059 / bpp_real: 2.50000, saving in out/...
Image  5072: psnr: 11.78005 / bpp_real: 2.07812, saving in out/...
Image  5073: psnr: 11.42300 / bpp_real: 2.21875, saving in out/...
Image  5074: psnr: 13.94301 / bpp_real: 2.14062, saving in out/...
Image  5075: psnr: 18.47906 / bpp_real: 2.57812, saving in out/...
Image  5076: psnr: 15.75810 / bpp_real: 2.87500, saving in out/...
Image  5077: psnr: 13.69651 / bpp_real: 2.20312, saving in out/...
Image  5078: psnr: 14.98769 / bpp_real: 2.15625, saving in out/...
Image  5079: psnr: 17.07665 / bpp_real: 2.34375, saving in out/...
Image  5080: psnr: 12.53845 / bpp_real: 2.26562, saving in out/...
Image  5081: psnr: 10.60072 / bpp_real: 2.15625, saving in out/...
Image  5082: psnr: 16.50927 / bpp_real: 2.40625, saving in out/...
Image  5083: psnr: 15.15564 / bpp_real: 2.45312, saving in out/...
Image  5084: psnr: 17.92446 / bpp_real: 2.39062, saving in out/...
Image  5085: psnr: 13.49240 / bpp_real: 2.17188, saving in out/...
Image  5086: psnr: 15.87754 / bpp_real: 2.85938, saving in out/...
Image  5087: psnr: 14.50332 / bpp_real: 2.29688, saving in out/...
Image  5088: psnr: 17.01514 / bpp_real: 2.07812, saving in out/...
Image  5089: psnr: 16.05920 / bpp_real: 2.43750, saving in out/...
Image  5090: psnr: 15.79006 / bpp_real: 2.16406, saving in out/...
Image  5091: psnr: 11.41950 / bpp_real: 2.10938, saving in out/...
Image  5092: psnr: 15.98414 / bpp_real: 2.12500, saving in out/...
Image  5093: psnr: 17.48793 / bpp_real: 2.46875, saving in out/...
Image  5094: psnr: 11.80345 / bpp_real: 2.04688, saving in out/...
Image  5095: psnr: 18.21365 / bpp_real: 2.45312, saving in out/...
Image  5096: psnr: 16.92198 / bpp_real: 2.68750, saving in out/...
Image  5097: psnr: 10.53472 / bpp_real: 2.28125, saving in out/...
Image  5098: psnr: 15.48167 / bpp_real: 2.46875, saving in out/...
Image  5099: psnr: 20.18519 / bpp_real: 2.53125, saving in out/...
Image  5100: psnr: 16.36024 / bpp_real: 2.04688, saving in out/...
Image  5101: psnr: 17.02209 / bpp_real: 2.37500, saving in out/...
Image  5102: psnr: 12.61782 / bpp_real: 2.12500, saving in out/...
Image  5103: psnr: 15.36209 / bpp_real: 2.32812, saving in out/...
Image  5104: psnr: 13.67737 / bpp_real: 2.04688, saving in out/...
Image  5105: psnr: 10.40260 / bpp_real: 2.06250, saving in out/...
Image  5106: psnr: 14.74440 / bpp_real: 2.66406, saving in out/...
Image  5107: psnr: 15.27311 / bpp_real: 2.10938, saving in out/...
Image  5108: psnr: 13.49504 / bpp_real: 2.17188, saving in out/...
Image  5109: psnr: 15.33891 / bpp_real: 2.06250, saving in out/...
Image  5110: psnr: 14.08554 / bpp_real: 2.18750, saving in out/...
Image  5111: psnr: 13.84012 / bpp_real: 2.06250, saving in out/...
Image  5112: psnr: 15.01353 / bpp_real: 2.14062, saving in out/...
Image  5113: psnr: 11.83992 / bpp_real: 2.23438, saving in out/...
Image  5114: psnr: 18.11909 / bpp_real: 2.15625, saving in out/...
Image  5115: psnr: 17.11288 / bpp_real: 2.18750, saving in out/...
Image  5116: psnr: 13.41154 / bpp_real: 2.21875, saving in out/...
Image  5117: psnr: 14.14401 / bpp_real: 2.14062, saving in out/...
Image  5118: psnr: 8.96851 / bpp_real: 2.25000, saving in out/...
Image  5119: psnr: 13.53717 / bpp_real: 2.12500, saving in out/...
Image  5120: psnr: 16.50492 / bpp_real: 2.34375, saving in out/...
Image  5121: psnr: 14.28042 / bpp_real: 2.04688, saving in out/...
Image  5122: psnr: 16.09267 / bpp_real: 2.12500, saving in out/...
Image  5123: psnr: 13.52967 / bpp_real: 2.32812, saving in out/...
Image  5124: psnr: 14.93499 / bpp_real: 2.19531, saving in out/...
Image  5125: psnr: 8.77422 / bpp_real: 2.10938, saving in out/...
Image  5126: psnr: 15.31360 / bpp_real: 2.21875, saving in out/...
Image  5127: psnr: 13.61248 / bpp_real: 2.20312, saving in out/...
Image  5128: psnr: 18.35305 / bpp_real: 2.26562, saving in out/...
Image  5129: psnr: 19.01044 / bpp_real: 2.28125, saving in out/...
Image  5130: psnr: 11.49374 / bpp_real: 2.18750, saving in out/...
Image  5131: psnr: 17.54966 / bpp_real: 2.50000, saving in out/...
Image  5132: psnr: 13.49180 / bpp_real: 2.07812, saving in out/...
Image  5133: psnr: 14.51216 / bpp_real: 2.21875, saving in out/...
Image  5134: psnr: 11.04012 / bpp_real: 2.34375, saving in out/...
Image  5135: psnr: 17.03033 / bpp_real: 2.57812, saving in out/...
Image  5136: psnr: 14.94636 / bpp_real: 2.06250, saving in out/...
Image  5137: psnr: 11.04359 / bpp_real: 2.01562, saving in out/...
Image  5138: psnr: 16.55241 / bpp_real: 2.20312, saving in out/...
Image  5139: psnr: 20.40964 / bpp_real: 2.48438, saving in out/...
Image  5140: psnr: 13.51003 / bpp_real: 2.18750, saving in out/...
Image  5141: psnr: 11.52471 / bpp_real: 2.15625, saving in out/...
Image  5142: psnr: 11.88967 / bpp_real: 2.18750, saving in out/...
Image  5143: psnr: 12.03664 / bpp_real: 2.09375, saving in out/...
Image  5144: psnr: 14.63830 / bpp_real: 2.39062, saving in out/...
Image  5145: psnr: 16.06253 / bpp_real: 2.23438, saving in out/...
Image  5146: psnr: 16.21688 / bpp_real: 2.45312, saving in out/...
Image  5147: psnr: 12.44137 / bpp_real: 2.09375, saving in out/...
Image  5148: psnr: 17.52705 / bpp_real: 2.64062, saving in out/...
Image  5149: psnr: 10.76517 / bpp_real: 2.18750, saving in out/...
